datetime;loading_MW;unloading_MW;YearlyEfc_counter;efc_per_timestep;curren state of health;intraday_price_EUR_per_MWh
03.06.2027 23:30;0;254;4.299.123;0.066959;0.999682192;199.840.891
03.06.2027 23:45;0;254;4.366.082;0.066959;0.999682192;1.932.454.474
04.06.2027 00:00;0;0;4.366.082;0;0.999682192;1.713.457.909
04.06.2027 00:15;0;254;4.433.041;0.066959;0.999682192;2.011.075.037
04.06.2027 00:30;0;0;4.433.041;0;0.999682192;1.613.122.173
04.06.2027 00:45;0;254;04. Mai;0.066959;0.999682192;1.833.585.621
04.06.2027 01:00;0;0;04. Mai;0;0.999682192;107.726.327
04.06.2027 01:15;0;0;04. Mai;0;0.999682192;1.396.412.931
04.06.2027 01:30;0;0;04. Mai;0;0.999682192;1.346.744.011
04.06.2027 01:45;0;0;04. Mai;0;0.999682192;1.159.821.833
04.06.2027 02:00;0;0;04. Mai;0;0.999682192;1.354.904.629
04.06.2027 02:15;0;0;04. Mai;0;0.999682192;999.326.599
04.06.2027 02:30;0;0;04. Mai;0;0.999682192;1.087.579.158
04.06.2027 02:45;0;0;04. Mai;0;0.999682192;1.061.148.065
04.06.2027 03:00;0;0;04. Mai;0;0.999682192;9.080.015.363
04.06.2027 03:15;0;0;04. Mai;0;0.999682192;1.023.866.645
04.06.2027 03:30;0;0;04. Mai;0;0.999682192;1.085.599.845
04.06.2027 03:45;0;0;04. Mai;0;0.999682192;8.505.935.106
04.06.2027 04:00;0;0;04. Mai;0;0.999682192;1.237.578.168
04.06.2027 04:15;0;0;04. Mai;0;0.999682192;1.241.260.932
04.06.2027 04:30;0;0;04. Mai;0;0.999682192;669.669.652
04.06.2027 04:45;0;0;04. Mai;0;0.999682192;6.720.510.038
04.06.2027 05:00;0;0;04. Mai;0;0.999682192;7.157.870.554
04.06.2027 05:15;0;0;04. Mai;0;0.999682192;1.032.902.208
04.06.2027 05:30;0;0;04. Mai;0;0.999682192;1.017.331.006
04.06.2027 05:45;0;0;04. Mai;0;0.999682192;1.155.810.662
04.06.2027 06:00;0;0;04. Mai;0;0.999682192;9.462.646.038
04.06.2027 06:15;0;0;04. Mai;0;0.999682192;7.207.426.549
04.06.2027 06:30;0;0;04. Mai;0;0.999682192;6.227.406.806
04.06.2027 06:45;0;0;04. Mai;0;0.999682192;1.045.985.125
04.06.2027 07:00;0;0;04. Mai;0;0.999682192;1.070.529.895
04.06.2027 07:15;0;0;04. Mai;0;0.999682192;7.490.846.137
04.06.2027 07:30;249;0;4.557.226;0.057226;0.999682192;4.522.435.618
04.06.2027 07:45;0;0;4.557.226;0;0.999682192;6.415.989.455
04.06.2027 08:00;0;0;4.557.226;0;0.999682192;8.952.883.945
04.06.2027 08:15;249;0;4.614.452;0.057226;0.999682192;-1.691.743.888
04.06.2027 08:30;0;0;4.614.452;0;0.999682192;9.347.687.562
04.06.2027 08:45;0;0;4.614.452;0;0.999682192;7.857.266.198
04.06.2027 09:00;0;0;4.614.452;0;0.999682192;114.181.466
04.06.2027 09:15;0;0;4.614.452;0;0.999682192;849.548.025
04.06.2027 09:30;0;0;4.614.452;0;0.999682192;9.617.352.096
04.06.2027 09:45;0;0;4.614.452;0;0.999682192;1.231.847.759
04.06.2027 10:00;0;0;4.614.452;0;0.999682192;1.186.347.875
04.06.2027 10:15;0;254;4.681.411;0.066959;0.999682192;1.492.586.544
04.06.2027 10:30;0;0;4.681.411;0;0.999682192;1.116.367.519
04.06.2027 10:45;0;0;4.681.411;0;0.999682192;7.123.833.793
04.06.2027 11:00;0;0;4.681.411;0;0.999682192;9.210.612.911
04.06.2027 11:15;0;0;4.681.411;0;0.999682192;7.025.592.946
04.06.2027 11:30;0;0;4.681.411;0;0.999682192;783.509.356
04.06.2027 11:45;0;0;4.681.411;0;0.999682192;6.812.629.845
04.06.2027 12:00;249;0;4.738.637;0.057226;0.999682192;1.223.903.774
04.06.2027 12:15;249;0;4.795.862;0.057226;0.999682192;4.201.022.256
04.06.2027 12:30;249;0;4.853.088;0.057226;0.999682192;3.143.702.491
04.06.2027 12:45;0;0;4.853.088;0;0.999682192;5.389.891.372
04.06.2027 13:00;0;0;4.853.088;0;0.999682192;9.854.487.082
04.06.2027 13:15;0;0;4.853.088;0;0.999682192;5.874.671.511
04.06.2027 13:30;0;0;4.853.088;0;0.999682192;6.018.805.177
04.06.2027 13:45;249;0;4.910.314;0.057226;0.999682192;2.538.946.744
04.06.2027 14:00;249;0;496.754;0.057226;0.999682192;4.198.525.212
04.06.2027 14:15;249;0;5.024.766;0.057226;0.999682192;1.289.993.029
04.06.2027 14:30;0;0;5.024.766;0;0.999682192;5.229.653.103
04.06.2027 14:45;0;0;5.024.766;0;0.999682192;8.017.862.834
04.06.2027 15:00;0;254;5.091.725;0.066959;0.999682192;1.396.774.754
04.06.2027 15:15;0;0;5.091.725;0;0.999682192;9.635.815.466
04.06.2027 15:30;19.293.322;0;5.096.159;0.004434;0.999682192;5.185.521.004
04.06.2027 15:45;0;0;5.096.159;0;0.999682192;5.660.564.172
04.06.2027 16:00;249;0;5.153.385;0.057226;0.999682192;4.225.502.958
04.06.2027 16:15;249;0;5.210.611;0.057226;0.999682192;3.364.958.725
04.06.2027 16:30;249;0;5.267.836;0.057226;0.999682192;4.510.156.665
04.06.2027 16:45;0;0;5.267.836;0;0.999682192;1.045.508.647
04.06.2027 17:00;0;0;5.267.836;0;0.999682192;6.022.509.835
04.06.2027 17:15;0;0;5.267.836;0;0.999682192;11.464.982
04.06.2027 17:30;0;0;5.267.836;0;0.999682192;1.033.466.261
04.06.2027 17:45;0;254;5.334.796;0.066959;0.999682192;2.915.608.484
04.06.2027 18:00;0;254;5.401.755;0.066959;0.999682192;1.730.720.578
04.06.2027 18:15;0;178.020.177;5.448.684;0.046929;0.999682192;1.651.334.885
04.06.2027 18:30;0;0;5.448.684;0;0.999682192;1.510.629.323
04.06.2027 18:45;0;0;5.448.684;0;0.999682192;1.506.343.904
04.06.2027 19:00;68.066.138;0;5.464.327;0.015643;0.999682192;7.932.644.177
04.06.2027 19:15;0;0;5.464.327;0;0.999682192;110.424.067
04.06.2027 19:30;0;0;5.464.327;0;0.999682192;1.393.611.679
04.06.2027 19:45;0;0;5.464.327;0;0.999682192;1.317.777.388
04.06.2027 20:00;0;254;5.531.286;0.066959;0.999682192;1.629.488.349
04.06.2027 20:15;0;0;5.531.286;0;0.999682192;1.294.641.424
04.06.2027 20:30;0;0;5.531.286;0;0.999682192;1.093.950.248
04.06.2027 20:45;0;0;5.531.286;0;0.999682192;1.300.867.324
04.06.2027 21:00;0;0;5.531.286;0;0.999682192;1.349.988.899
04.06.2027 21:15;0;0;5.531.286;0;0.999682192;117.256.286
04.06.2027 21:30;0;0;5.531.286;0;0.999682192;1.160.501.692
04.06.2027 21:45;0;0;5.531.286;0;0.999682192;1.272.933.165
04.06.2027 22:00;0;0;5.531.286;0;0.999682192;11.852.601
04.06.2027 22:15;0;254;5.598.245;0.066959;0.999682192;1.353.064.399
04.06.2027 22:30;0;254;5.665.204;0.066959;0.999682192;1.546.696.445
04.06.2027 22:45;0;254;5.732.164;0.066959;0.999682192;1.491.392.757
04.06.2027 23:00;0;0;5.732.164;0;0.999682192;1.281.789.775
04.06.2027 23:15;0;0;5.732.164;0;0.999682192;1.131.455.675
04.06.2027 23:30;0;0;5.732.164;0;0.999682192;1.134.661.962
04.06.2027 23:45;0;254;5.799.123;0.066959;0.999682192;132.111.907
05.06.2027 00:00;0;0;5.799.123;0;0.999371978;1.686.770.543
05.06.2027 00:15;0;0;5.799.123;0;0.999371978;104.297.208
05.06.2027 00:30;0;0;5.799.123;0;0.999371978;127.186.037
05.06.2027 00:45;249;0;5.856.367;0.057244;0.999371978;8.073.128.496
